text,label,sport,tone,persona
"Bonjour,

Je dois inscrire rapidement un joueur pour la saison, c'est urgent. Pouvez-vous me dire combien ça coûte et quels documents il faut prévoir ? Il peut commencer dès cette semaine.

Merci de me répondre au plus vite.

Cordialement,
Marc",inscription,basketball,urgent,un entraîneur bénévole
"Bonjour,

Je vous contacte en tant que responsable administratif de la Mairie concernant l'inscription de plusieurs jeunes du quartier à votre club de rugby pour la saison 2024-2025. Pourriez-vous me transmettre les modalités d'adhésion, les tarifs appliqués et la liste des documents que nous devons fournir pour finalisé les inscriptions ?

Je vous remercie par avance de votre aide.

Cordialement,
Michel Dupont
Responsable Administratif - Mairie de Saint-Étienne",inscription,rugby,formel et poli,un responsable administratif municipal
"Bonjour,

Je voulais savoir si c'est possible de renouveler la licence de mon fils pour cette année? Je sais pas trop quels documents faut envoyer ni combien ça coûte exactement. Pouvez vous m'expliquer comment ça marche?

Merci beaucoup",inscription,judo,hésitant et maladroit,un parent d'enfant licencié
"Salut,

J'aurais besoin de savoir si mon joueur peut faire son inscription directement en ligne ou si faut venir au club ? Et c'est combien cette année pour la licence ?

Merci",inscription,football,informel et direct,un entraîneur bénévole
"Bonjour,

J'aurais une question sur les tarifs d'adhésion pour la saison prochaine. Est-ce que c'est possible d'avoir la liste des documents à fournir pour l'inscription ? Et faut-il un certificat médical ?

Merci d'avance.",inscription,judo,informel et direct,un responsable administratif municipal
"Bonjour,

Je vous écris pour m'inscrire au club pour la saison qui arrive. J'ai pratiqué un peu le judo y a quelques années et j'aimerais bien m'y remettre, ça m'manque.

Du coup j'aurais quelques questions avant de finaliser mon inscription. D'abord, c'est combien l'adhésion pour un adulte? J'ai vu sur le site qu'il y avait plusieurs tarifs mais j'ai pas bien compris les différences. Est-ce que la licence fédérale c'est inclus ou faut que je la prenne a part?

J'aimerais aussi savoir les horaires des cours pour les adultes. Sur votre site c'est un peu compliqué à trouver honnêtement. Vous avez des créneaux en semaine après 18h ou en fin de semaine? J'travaille donc faut que ce soit compatible avec mes horaires.

Un dernier truc, c'est quoi exactement les documents que je dois apporter pour m'inscrire? Un certificat médical je pense c'est obligatoire? Et une photo d'identité ça suffit ou faut un truc de plus?

Merci pour votre aide, j'attends votre réponse pour finaliser tout ça.

Cordialement,
Marc",inscription,judo,informel et direct,un joueur adulte
"Bonjour,

Je vous contacte au sujet de l'inscription de plusieurs de nos collaborateurs au club de badminton. Nous souhaiterions que 5 personnes de notre entreprise puissent rejoindre votre structure pour la saison à venir.

Pourriez-vous me transmettre les tarifs d'adhésion ainsi que les documents nécessaires pour valider les inscriptions ? Nous aimerons également savoir si des créneaux sont disponibles en soirée, notamment le mercredi et le vendredi après 18h, car nos employés sont en activité professionnel la journée.

Y a-t-il des frais supplémentaires concernant la licence fédérale ? Et faut-il un certificat médical pour participer aux activités ?

En vous remerciant pour votre aide, je reste à votre disposition pour discuter de modalités qui conviendraient à nos équipes.

Cordialement,
Frédéric Martel
Responsable RH
Entreprise Martel & Associés",inscription,badminton,formel et poli,un responsable d'entreprise locale
"Objet: URGENT - Inscription joueur + renouvellement licences saison 2024-25

Bonjour,

Je vous contacte de manière assez urgente car nous avons une situation à régler rapidement concernant nos inscriptions pour la saison prochaine. Nous avons actuellement 3 nouveaux joueurs qui souhaiteraient intégrer notre équipe senior masculin et nous devons absolument finaliser leurs dossiers avant la fin du mois.

Je voulais savoir d'abord quels sont exactement les documents qu'il faut que nous rassemblions pour les inscriptions, notamment pour les joueurs qui viennent d'autres clubs. Est-ce qu'il faut un certificat médical à jour obligatoirement ? Et les tarifs de licence, est-ce qu'ils ont augmenté par rapport à l'année dernière ?

Ensuite, concernant le renouvellement des licences de nos joueurs actuels, nous avons quelques anciens qui sont pas trop surs de leurs statuts dans le système. Pouvez-vous vérifier rapidement si tous les gars de la saison passée sont bien en règle ? J'ai une liste que je peux vous envoyer.

Aussi, concernant les modalités d'adhésion au club pour les parents qui souhaitent devenir adhérents, c'est toujours la même procédure qu'avant ? Il y a des tarifs spécifiques ou c'est juste une adhésion générale ?

Désolé de vous presser mais nous avons une réunion de bureau prévue vendredi et faut que je puisse donner des infos fiables à tout le monde. Si possible, une petite réponse avant jeudi serait vraiment top.

Merci d'avance pour votre aide.

Cordialement,
Michel Dupont
Président - Club de Handball de Saint-Étienne",inscription,handball,urgent,un dirigeant du club
"Bonjour,

Je vous écris car je dois renouveler la licence de mon fils pour la saison qui commence bientôt et j'aimerais savoir comment procéder rapidement. Quels sont les documents que je dois fournir et quel est le tarif exact pour un enfant de 12 ans ?

Aussi, j'ai perdu l'identifiant de mon compte adhérent... est-ce que c'est un problème pour le renouvellement ?

Merci de me répondre au plus vite, les entraînements reprennent dans une semaine.

Cordialement,
Marie Dupont",inscription,handball,urgent,un parent d'enfant licencié
"Bonjour,

Je vous contacte au nom du club de basketball de Limoges pour vous transmettre une demande d'inscription pour l'une de nos jeunes joueuses, Amélie Dupont, née le 15 mars 2008.

Nous souhaitons l'inscrire pour la saison 2024-2025 dans la catégorie U17 féminin. Avant de finaliser son dossier, nous avons quelques questions concernant les modalités d'adhésion. Pourriez-vous nous transmettre le détail des tarifs des licences pour cette catégorie d'âge, ainsi que la liste complète des documents à fournir ? 

Nous disposons déjà du certificat médical et de l'autorisation parentale, mais nous ne sommes pas certain des pièces complémentaires éventuellement requises. Également, existe-t-il une possibilité de versement en plusieurs fois pour l'adhésion annuelle ?

Par ailleurs, nous aimerions connaitre la date limite d'inscription pour bénéficier du tarif standard, car il est important que nous organisions nos effectifs au plus vite pour la reprise de la saison.

Je reste à votre entière disposition pour tout complément d'information concernant notre club et notre projet sportif. N'hésitez pas à nous contacter si vous avez besoin de précisions supplémentaires de notre côté.

En vous remerciant de votre aide et de votre réactivité, je vous prie d'agréer mes sincères salutations.

Cordialement,
Alain Mercier
Directeur administratif
Club de Basketball Limoges Métropole",inscription,basketball,formel et poli,un dirigeant du club
"Bonjour,

Je vous contacte en tant que responsable administratif de la mairie de Fontainebleau pour plusieurs questions concernant l'inscription de nos jeunes residents au sein de votre club de tennis de table.

Nous souhaiterions connaitre les tarifs actuels pour une adhésion annuelle, ainsi que les documents que nous devons fournir pour les mineurs. Pouvez-vous également nous preciser le calendrier d'inscription pour la saison prochaine et les différentes catégories d'âge disponibles?

De plus, je voudrais savoir si votre club propose un tarif particulier pour les inscriptions groupées, sachant que nous avons environ une quinzaine de jeunes intéressés.

Merci de me transmettre le dossier d'inscription complet et les conditions generales d'adhésion. N'hesitez pas à me recontacter si vous avez besoin de précisions supplémentaires.

Cordialement,
Stéphane Moreau
Responsable administratif
Mairie de Fontainebleau",inscription,tennis de table,formel et poli,un responsable administratif municipal
"Bonjour,

Je voulais savoir si c'était possible d'inscrire ma fille pour l'athlétisme, je sais pas trop comment ça marche ni ce qu'il faut faire. C'est combien pour une année et est-ce qu'il y a des papiers à donner ?

Merci d'avance pour votre aide.

Cordialement,",inscription,athlétisme,hésitant et maladroit,un parent d'enfant licencié
"Bonjour,

Je vous contacte en urgence car nous avons reçu plusieurs dossiers d'inscription incomplets en provenance de votre club pour la saison 2024-2025. Il manque notamment les attestations médicales et les justificatifs d'identité pour une dizaine de judokas.

Nous devons absolument recevoir ces documents avant le 15 octobre pour finaliser les licences. Passé cette date, les athlètes ne pourront pas participer aux compétitions fédérales.

Pouvez-vous vérifier auprès de vos adhérents et nous transmettre les pièces manquantes au plus vite ? N'hésitez pas à me contacter si vous avez besoin de précisions sur les modalités ou si certain dossiers pose problème.

Merci de traiter ce dossier en priorité.

Cordialement,
Marc Delorme
Responsable des Licences
Fédération Française de Judo",inscription,judo,urgent,un représentant fédéral
"Madame, Monsieur,

Je vous contacte afin de connaitre les modalités d'inscription pour un jeune de 14 ans souhaitant rejoindre votre section rugby. Quels sont les documents à fournir et quel est le tarif de la licence ?

Cordialement,
Dupont Marc
Responsable administratif
Mairie de Saint-Laurent",inscription,rugby,formel et poli,un responsable administratif municipal
"Bonjour,

Je vous contacte en tant que responsable de l'entreprise Metalco Solutions, basée à proximité de vos installations. Nous souhaitons inscrire plusieurs de nos collaborateurs au sein de votre club de rugby pour la saison 2024-2025. 

Pourriez-vous nous transmettre les informations concernant les modalités d'inscription, notamment les tarifs d'adhésion et les documents nécessaires pour valider les licences ? Nous avons également des questions sur les créneaux d'entraînement disponibles et si des facilités sont proposées pour les inscriptions en groupe.

Par ailleurs, nous serions intéressés de savoir si votre club propose des partenariats avec les entreprises locales, dans une optique de développement de nos liens avec la communauté.

Je vous remercie par avance pour votre aide et reste à votre disposition pour tout complément d'information.

Cordialement,
Jean-Marc Devereaux
Responsable Ressources Humaines
Metalco Solutions",inscription,rugby,formel et poli,un responsable d'entreprise locale
"Bonjour,

Voilà je sais pas trop si c'est le bon endroit pour demander mais est-ce qu'on doit refaire les licences avant septembre ou ça peut attendre ? Et puis les tarifs c'est combien cette année ? Pardon si c'est une question bête.

Merci d'avance",inscription,rugby,hésitant et maladroit,un dirigeant du club
"Bonjour,

Je vous contacte pour inscrire un de nos jeunes athlètes au club pour la saison prochaine. C'est la première fois qu'il vient s'entrainer avec nous, donc j'aurais besoin de savoir exactement ce qu'il faut comme documents et combien ça coûte.

Est-ce qu'il y a une licence fédérale à faire ou c'est vous qui gérez ça ? Et sinon, le tarif est le même pour les moins de 18 ans ? Je dois remplir un formulaire d'inscription ou comment ça marche ?

Si possible j'aimerais bien avoir une réponse avant mercredi, on doit finaliser les inscriptions du groupe assez vite.

Merci d'avance !",inscription,athlétisme,informel et direct,un dirigeant du club
"Bonjour,

Je vous contacte en urgence concernant l'inscription de notre groupe de jeunes au club. Nous avons besoin de connaitre rapidement les tarifs d'adhésion pour la saison et les papiers à fournir. Nous envisageons d'envoyer une quinzaine de enfants et il nous faut les informations dès que possible pour finaliser notre budget avant la fin du mois.

Pouvez-vous nous transmettre les documents d'inscription et le détail des frais ?

Cordialement,
Stéphane Moreau
Responsable des sports - Mairie",inscription,tennis de table,urgent,un responsable administratif municipal
"Bonjour,

J'écris pour inscrire un de mes joueurs à votre club pour la saison prochaine. C'est un jeune de 16 ans qui joue en tant que meneur depuis 2 ans. Pourriez vous me dire les tarifs exact et la liste des papiers qu'on doit fournir ? Faut-il renouveler la licence chaque année ou c'est automatique ? 

Merci de me répondre rapidement, on aimerait bien finir les démarches avant la fin du mois.

A bientôt,
Marc Durand
Entraîneur U16",inscription,basketball,informel et direct,un entraîneur bénévole
"Bonjour,

Je vous écris en urgence concernant l'inscription de trois jeunes athlètes de notre commune qui souhaite rejoindre votre club avant la fin du mois. Nous avons un problème au niveau administratif et nous avons besoin de clarification rapidement.

Première question : quels sont exactement les documents nécessaires pour valider une inscription ? Nous avons un certificat médical datant de juillet, est-ce que c'est encore valable ou faut-il qu'ils en refassent un ? Et concernant l'autorisation parentale, elle doit être notariée ou une simple signature suffit ?

Deuxième point : nous souhaiterions connaître vos tarifs d'adhésion pour cette année. Est-ce qu'il y a toujours une réduction pour les inscriptions groupées ou en famille ? Un des parents nous demande aussi s'il est possible de verser en plusieurs fois au lieu d'un seul paiement.

Également, comment ça se passe pour le matériel et l'équipement ? Les jeunes doivent-ils tout acheter eux-mêmes ou vous fournissez une liste de fournisseurs agréés ?

C'est vraiment important qu'on règle ça rapidement car la rentrée sportive approche et nous ne voulons pas que ces enfants ratent le début de la saison. Pourriez-vous nous répondre dans les 48h maximum ?

Merci beaucoup.

Cordialement,
Mme Delorme
Responsable administratif - Services à la jeunesse, Mairie de Villefranche",inscription,athlétisme,urgent,un responsable administratif municipal
"Bonjour,

Je vous contacte en urgence car j'aimerais inscrire deux de mes collaborateurs au club avant la fin du mois. Pourriez-vous me dire rapidement quels documents il faut et quel est le tarif pour une adhésion au judo? C'est pour des adultes débutants. Nous sommes une petite entreprise locale et cherchons une activité de team building, donc si vous avez des formules spéciales pour les groupes c'est interessant aussi. 

Merci de répondre au plus tôt.

Cordialement,
Marc Desroches",inscription,judo,urgent,un responsable d'entreprise locale
"Bonjour,

Je vous contacte au nom de notre entreprise pour nous intéresser à une possible adhésion au club. Nous souhaiterions inscrire plusieurs de nos collaborateurs pour la saison à venir. Pourriez-vous nous transmettre les tarifs d'adhésion ainsi que les documents nécessaires pour finaliser les inscriptions ?

Nous apprécierions également de connaître les modalités de renouvellement de licence.

Cordialement,
Olivier Mercier
Directeur - Mercier Électronique",inscription,football,formel et poli,un responsable d'entreprise locale
"Bonjour,

Je vous contact dans l'urgence car j'ai un problème concernant la licence de mon fils pour la saison 2024-2025. Il s'est inscrit il y a quelques semaines mais je n'ai toujours pas reçu confirmation de sa part, et les entraînements commencent la semaine prochaine.

Pouvez-vous me dire si son dossier a bien été traité ? Je sais que j'aurais du faire ça plus tôt mais avec le travail et tout, j'ai laissé trainer. Il a fourni tous les documents demandés : le certificat médical, une photocopie de la pièce d'identité et l'attestation d'assurance.

Est-ce qu'il est encore possible de finaliser son inscription rapidement ? Concernant les tarifs, je voulais aussi savoir si je dois payer l'intégralité de la cotisation maintenant ou si vous proposez des échelonnements vu que nous sommes déjà avancés dans le mois.

Y a-t-il des frais supplémentaires pour les équipements ou les tournois internes ? Et pour la catégorie où il joue (moins de 12 ans), c'est quel montant exactement ?

Merci de réagir au plus vite, il compte vraiment commencer les entraînements et je préférerais pas le décevoir.

Cordialement,
Mme Martin",inscription,tennis de table,urgent,un parent d'enfant licencié
"Bonjour,

Je vous écris pour vous demander les modalités d'inscription pour un jeune de 14 ans qui souhaiterais rejoindre votre club de rugby. C'est la première fois qu'il joue et on cherche à le mettre dans un bon environnement.

J'aurais besoin de savoir quels sont les documents nécessaire pour l'adhésion, les tarifs de la saison et aussi si il y a des créneaux d'essai ou une période pour venir voir avant de s'engager. Faut-il qu'il ait une licence fédérale directement ou ça se fait auprès de vous ?

Aussi, j'aimerais connaitre les horaires des entraînements pour les U16 et si il faut une visite médicale.

En attente de votre retour.

Cordialement,
Patrick Mercier
Responsable administratif
Commune de Villedieu-lès-Bailleul",inscription,rugby,informel et direct,un responsable administratif municipal
